Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp,Avg Resp,Min Resp,Max Resp
Road Cycling,2019-12-05 06:53:50,false,"Bang Phli Road Cycling","70.28","1,266","02:27:23","137","163","3.6","--","--","28.6","43.0","26","44","0.00","0.0","0.0","--","82","181","156","--","64.7","178","143","417","0.0","0.0","11841","--","--","0:00","18.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-12-04 18:15:04,false,"Bang Phli Road Cycling","46.88","647","01:19:24","137","163","3.0","--","--","35.4","44.3","7","17","0.00","0.0","0.0","--","79","162","152","--","32.7","163","136","684","0.0","0.0","6260","--","--","0:00","22.0","0:00","No","00:00.83","3","0.0","--","--","--"
Road Cycling,2019-12-01 06:00:04,false,"Ban Na Road Cycling","215.15","3,721","09:23:22","148","177","5.0","--","--","22.9","67.4","2,057","2,049","0.00","0.0","0.0","--","78","238","143","--","206.0","173","111","605","0.0","0.0","35130","--","--","0:00","20.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-11-30 06:26:38,false,"Bang Phli Road Cycling","70.40","757","02:00:07","143","171","3.7","--","--","35.2","45.1","9","23","0.00","0.0","0.0","--","77","157","134","30% L / 70% R","38.6","179","105","566","0.0","0.0","9186","--","--","0:00","23.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-11-26 18:16:47,false,"Bang Phli Road Cycling","46.93","783","01:26:42","140","159","3.2","--","--","32.5","48.8","6","18","0.00","0.0","0.0","--","86","155","167","44% L / 56% R","43.5","159","151","581","0.0","0.0","7335","--","--","0:00","27.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-11-24 06:29:48,false,"Bang Phli Road Cycling","100.33","1,467","02:55:33","144","169","3.8","--","--","34.3","44.5","25","44","0.00","0.0","0.0","--","81","171","149","46% L / 54% R","69.8","169","139","623","0.0","0.0","13896","--","--","0:00","21.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-11-23 06:45:31,false,"Bang Phli Road Cycling","117.29","1,572","03:35:30","139","172","4.0","--","--","32.7","46.5","23","36","0.00","0.0","0.0","--","77","163","132","49% L / 51% R","67.9","153","122","703","0.0","0.0","16522","--","--","0:00","23.0","0:00","No","00:01.34","2","0.0","--","--","--"
Road Cycling,2019-11-21 17:43:06,false,"Bang Phli Road Cycling","70.29","1,043","01:52:14","145","174","4.0","--","--","37.6","51.7","10","21","0.00","0.0","0.0","--","82","158","174","46% L / 54% R","60.8","190","155","731","0.0","0.0","9145","--","--","0:00","26.0","0:00","No","00:03.51","3","0.0","--","--","--"
Road Cycling,2019-11-19 18:21:27,false,"Bang Phli Road Cycling","46.84","730","01:23:06","141","173","3.1","--","--","33.8","47.2","8","18","0.00","0.0","0.0","--","82","173","170","46% L / 54% R","43.2","175","147","685","0.0","0.0","6741","--","--","0:00","28.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-11-17 07:00:24,false,"Mueang Suphan Buri Road Cycling","113.97","1,648","03:13:58","156","177","5.0","--","--","35.3","46.8","136","148","0.00","0.0","0.0","--","80","167","165","46% L / 54% R","94.4","171","142","701","0.0","0.0","14722","--","--","0:00","23.0","0:00","No","10:02.05","2","0.0","--","--","--"
Road Cycling,2019-11-16 06:19:11,false,"Bang Phli Road Cycling","117.33","1,690","03:30:32","145","185","4.3","--","--","33.4","47.4","21","34","0.00","0.0","0.0","--","75","166","144","46% L / 54% R","78.6","159","134","627","0.0","0.0","15607","--","--","0:00","23.0","0:00","No","00:03.23","4","0.0","--","--","--"
Road Cycling,2019-11-11 06:33:06,false,"Mueang Chiang Rai Road Cycling","37.67","603","01:46:47","88","115","0.4","--","--","21.2","42.3","96","106","0.00","0.0","0.0","--","69","247","141","45% L / 55% R","37.6","131","95","617","0.0","0.0","4847","--","--","0:00","20.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-11-10 07:00:32,false,"Mueang Chiang Rai Road Cycling","131.65","2,129","04:03:14","88","132","0.8","--","--","32.5","51.3","500","502","0.00","0.0","0.0","--","76","246","181","46% L / 54% R","140.4","181","147","823","0.0","0.0","16174","--","--","0:00","19.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-11-07 18:14:18,false,"Bang Phli Road Cycling","46.91","643","01:22:00","84","107","0.4","--","--","34.3","47.6","8","20","0.00","0.0","0.0","--","77","139","156","46% L / 54% R","35.6","151","131","702","0.0","0.0","6194","--","--","0:00","28.0","0:00","No","00:00.00","1","0.0","--","--","--"
Running,2019-11-05 19:33:49,false,"Lak Si Running","10.03","600","01:08:04","157","182","5.0","159","162","6:47","5:34","--","9","0.93","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","29.0","0:00","No","00:10.80","11","0.0","--","--","--"
Road Cycling,2019-11-03 06:20:18,false,"Bang Phli Road Cycling","70.35","1,018","02:22:35","115","157","2.7","--","--","29.6","38.9","10","25","0.00","0.0","0.0","--","72","175","136","45% L / 55% R","47.0","156","119","569","0.0","0.0","10014","--","--","0:00","23.0","0:00","No","00:00.00","1","0.0","--","--","--"
