Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Grit,Flow,Total Strokes,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
cycling,2019-02-10 17:31:40,false,"Bang Phli Cycling","94.20","1,631","03:00:58","148","179","--","--","--","31.2","49.6","14","16","0.00","0.0","0.0","78","163","165","43% L / 57% R","203.7","186","150","635","0.0","0.0","14107","0:00","24.0","0:00","No","41:25.57","4","0.0"
cycling,2019-02-06 18:09:32,false,"Bang Phli Cycling","50.34","804","01:43:50","128","150","--","--","--","29.1","42.1","5","15","0.00","0.0","0.0","84","155","139","40% L / 60% R","83.7","150","129","567","0.0","0.0","8519","0:00","24.0","0:00","No","45:38.40","3","0.0"
cycling,2019-02-05 17:50:30,false,"Bang Phli Cycling","70.44","1,025","01:58:36","141","166","--","--","--","35.6","55.4","6","14","0.00","0.0","0.0","85","181","165","41% L / 59% R","134.4","171","144","844","0.0","0.0","10047","0:00","25.0","0:00","No","36:12.30","3","0.0"
cycling,2019-02-05 06:22:36,false,"Bang Phli Cycling","94.11","1,472","02:49:07","141","171","--","--","--","33.4","48.0","14","19","0.00","0.0","0.0","78","170","158","42% L / 58% R","176.1","187","145","565","0.0","0.0","13237","0:00","23.0","0:00","No","01:19:01.20","2","0.0"
cycling,2019-02-03 17:18:43,false,"Bang Phli Cycling","70.36","1,127","01:58:05","150","175","--","--","--","35.8","49.7","12","16","0.00","0.0","0.0","84","172","169","41% L / 59% R","139.5","180","159","623","0.0","0.0","9886","0:00","25.0","0:00","No","00:00.00","1","0.0"
cycling,2019-02-02 07:58:17,false,"Mueang Prachin Buri Cycling","93.36","1,962","04:28:16","141","180","--","--","--","20.9","75.1","1,655","1,654","0.00","0.0","0.0","71","231","162","44% L / 56% R","291.8","178","122","593","0.0","0.0","16296","0:00","18.0","0:00","No","05:33.40","7","0.0"
cycling,2019-01-27 08:14:55,false,"Mueang Prachin Buri Cycling","87.38","1,904","04:02:47","138","178","--","--","--","21.6","68.2","1,678","1,661","0.00","0.0","0.0","73","210","168","43% L / 57% R","284.9","186","131","555","0.0","0.0","15504","0:00","16.0","0:00","No","00:00.00","1","0.0"
cycling,2019-01-26 17:45:32,false,"Bang Phli Cycling","50.16","737","01:33:29","129","158","--","--","--","32.2","40.4","9","13","0.00","0.0","0.0","78","169","148","43% L / 57% R","85.3","173","131","465","0.0","0.0","7219","0:00","23.0","0:00","No","00:00.00","2","0.0"
cycling,2019-01-24 17:27:53,false,"Bang Phli Cycling","70.37","731","01:52:18","132","188","--","--","--","37.6","52.5","7","11","0.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","0:00","23.0","0:00","No","00:00.00","3","0.0"
cycling,2019-01-22 17:51:33,false,"Bang Phli Cycling","70.44","657","01:56:36","129","157","--","--","--","36.2","49.3","9","15","0.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","0:00","24.0","0:00","No","00:00.00","3","0.0"
running,2019-01-20 05:59:55,false,"Hat Yai Running","10.97","726","01:22:08","169","184","5.0","151","169","7:29","5:36","42","50","0.88","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","0:00","27.0","0:00","No","00:00.00","7","0.0"
cycling,2019-01-17 18:00:06,false,"Bang Phli Cycling","46.96","652","01:12:36","154","180","--","--","--","38.8","51.8","5","11","0.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","0:00","26.0","0:00","No","00:00.00","2","0.0"
cycling,2019-01-15 17:56:23,false,"Bang Phli Cycling","70.63","742","02:18:33","124","152","--","--","--","30.6","37.4","8","15","0.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","0:00","24.0","0:00","No","00:00.00","3","0.0"
road_biking,2019-01-13 17:19:08,false,"Bang Phli Road Cycling","70.67","463","01:53:14","118","118","--","--","--","37.4","49.8","11","12","0.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","0:00","27.0","0:00","No","00:00.00","3","0.0"
road_biking,2019-01-12 06:21:53,false,"Bang Phli Road Cycling","117.75","1,200","03:23:54","141","173","--","--","--","34.6","45.6","18","18","0.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","0:00","21.0","0:00","No","00:00.00","5","0.0"
road_biking,2019-01-10 18:04:30,false,"Bang Phli Road Cycling","70.69","847","01:59:41","147","181","--","--","--","35.4","45.4","19","24","0.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","0:00","24.0","0:00","No","00:00.00","3","0.0"
road_biking,2019-01-09 17:44:34,false,"Bang Phli Road Cycling","46.79","581","01:23:21","139","174","--","--","--","33.7","46.4","3","9","0.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","0:00","25.0","0:00","No","00:00.00","1","0.0"
road_biking,2019-01-08 18:00:57,false,"Bang Phli Road Cycling","46.98","612","01:14:49","141","174","--","--","--","37.7","61.7","10","11","0.00","0.0","0.0","84","136","173","50% L / 50% R","40.0","156","137","765","0.0","0.0","5969","0:00","24.0","0:00","No","00:00.00","2","0.0"
road_biking,2019-01-06 07:09:16,false,"Pak Chong Road Cycling","81.14","1,600","03:57:40","140","187","--","--","--","20.5","62.9","1,553","1,550","0.00","0.0","0.0","72","107","156","50% L / 50% R","104.4","171","112","493","0.0","0.0","13308","0:00","17.0","0:00","No","00:00.00","1","0.0"
